batch_id,artifact_id,artifact_ordinal,source_artifact_id,source_type,source_path,review_summary,reviewer,reviewed_at,usefulness_score,correctness_score,novelty_score,time_saved_score,average_score,reviewer_notes,final_classification,authority_boundary_pass,material_issue_count,recommended_follow_up,human_review_status,score_source
research_adversary_human_review_batch_001,reports/atlas_v2_research_os/research_adversary_corpus/reviews/131_hypothesis_hypothesis_031/research_adversary_review.json,131,obs_claim_a72984749e14b419,hypothesis,reports/atlas_v2_research_os/research_adversary_corpus/source_inputs/hypotheses/hypothesis_031.json,reports/atlas_v2_research_os/research_adversary_corpus/reviews/131_hypothesis_hypothesis_031/research_adversary_review_summary.md,,,,,,,,,,true,,,PENDING_HUMAN_REVIEW,UNSCORED_HUMAN_REQUIRED
research_adversary_human_review_batch_001,reports/atlas_v2_research_os/research_adversary_corpus/reviews/132_hypothesis_hypothesis_032/research_adversary_review.json,132,obs_claim_f9c4eb5f9eba25fb,hypothesis,reports/atlas_v2_research_os/research_adversary_corpus/source_inputs/hypotheses/hypothesis_032.json,reports/atlas_v2_research_os/research_adversary_corpus/reviews/132_hypothesis_hypothesis_032/research_adversary_review_summary.md,,,,,,,,,,true,,,PENDING_HUMAN_REVIEW,UNSCORED_HUMAN_REQUIRED
research_adversary_human_review_batch_001,reports/atlas_v2_research_os/research_adversary_corpus/reviews/133_hypothesis_hypothesis_033/research_adversary_review.json,133,obs_claim_d9987a632b27d8f4,hypothesis,reports/atlas_v2_research_os/research_adversary_corpus/source_inputs/hypotheses/hypothesis_033.json,reports/atlas_v2_research_os/research_adversary_corpus/reviews/133_hypothesis_hypothesis_033/research_adversary_review_summary.md,,,,,,,,,,true,,,PENDING_HUMAN_REVIEW,UNSCORED_HUMAN_REQUIRED
research_adversary_human_review_batch_001,reports/atlas_v2_research_os/research_adversary_corpus/reviews/134_hypothesis_hypothesis_034/research_adversary_review.json,134,obs_claim_60dd71713d4adfab,hypothesis,reports/atlas_v2_research_os/research_adversary_corpus/source_inputs/hypotheses/hypothesis_034.json,reports/atlas_v2_research_os/research_adversary_corpus/reviews/134_hypothesis_hypothesis_034/research_adversary_review_summary.md,,,,,,,,,,true,,,PENDING_HUMAN_REVIEW,UNSCORED_HUMAN_REQUIRED
research_adversary_human_review_batch_001,reports/atlas_v2_research_os/research_adversary_corpus/reviews/135_hypothesis_hypothesis_035/research_adversary_review.json,135,obs_claim_5a6b586e4c7c9626,hypothesis,reports/atlas_v2_research_os/research_adversary_corpus/source_inputs/hypotheses/hypothesis_035.json,reports/atlas_v2_research_os/research_adversary_corpus/reviews/135_hypothesis_hypothesis_035/research_adversary_review_summary.md,,,,,,,,,,true,,,PENDING_HUMAN_REVIEW,UNSCORED_HUMAN_REQUIRED
research_adversary_human_review_batch_001,reports/atlas_v2_research_os/research_adversary_corpus/reviews/136_hypothesis_hypothesis_036/research_adversary_review.json,136,obs_claim_df00fdda61391aeb,hypothesis,reports/atlas_v2_research_os/research_adversary_corpus/source_inputs/hypotheses/hypothesis_036.json,reports/atlas_v2_research_os/research_adversary_corpus/reviews/136_hypothesis_hypothesis_036/research_adversary_review_summary.md,,,,,,,,,,true,,,PENDING_HUMAN_REVIEW,UNSCORED_HUMAN_REQUIRED
research_adversary_human_review_batch_001,reports/atlas_v2_research_os/research_adversary_corpus/reviews/137_hypothesis_hypothesis_037/research_adversary_review.json,137,obs_claim_d1b448198355368d,hypothesis,reports/atlas_v2_research_os/research_adversary_corpus/source_inputs/hypotheses/hypothesis_037.json,reports/atlas_v2_research_os/research_adversary_corpus/reviews/137_hypothesis_hypothesis_037/research_adversary_review_summary.md,,,,,,,,,,true,,,PENDING_HUMAN_REVIEW,UNSCORED_HUMAN_REQUIRED
research_adversary_human_review_batch_001,reports/atlas_v2_research_os/research_adversary_corpus/reviews/138_hypothesis_hypothesis_038/research_adversary_review.json,138,obs_claim_596143a3769dcb4f,hypothesis,reports/atlas_v2_research_os/research_adversary_corpus/source_inputs/hypotheses/hypothesis_038.json,reports/atlas_v2_research_os/research_adversary_corpus/reviews/138_hypothesis_hypothesis_038/research_adversary_review_summary.md,,,,,,,,,,true,,,PENDING_HUMAN_REVIEW,UNSCORED_HUMAN_REQUIRED
research_adversary_human_review_batch_001,reports/atlas_v2_research_os/research_adversary_corpus/reviews/139_hypothesis_hypothesis_039/research_adversary_review.json,139,obs_claim_0cacf1a1803cccb0,hypothesis,reports/atlas_v2_research_os/research_adversary_corpus/source_inputs/hypotheses/hypothesis_039.json,reports/atlas_v2_research_os/research_adversary_corpus/reviews/139_hypothesis_hypothesis_039/research_adversary_review_summary.md,,,,,,,,,,true,,,PENDING_HUMAN_REVIEW,UNSCORED_HUMAN_REQUIRED
research_adversary_human_review_batch_001,reports/atlas_v2_research_os/research_adversary_corpus/reviews/140_hypothesis_hypothesis_040/research_adversary_review.json,140,obs_claim_56e8928be49ce9d6,hypothesis,reports/atlas_v2_research_os/research_adversary_corpus/source_inputs/hypotheses/hypothesis_040.json,reports/atlas_v2_research_os/research_adversary_corpus/reviews/140_hypothesis_hypothesis_040/research_adversary_review_summary.md,,,,,,,,,,true,,,PENDING_HUMAN_REVIEW,UNSCORED_HUMAN_REQUIRED
